timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768087157725,459,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-62,text,true,,333,156,13,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,459,0,274
1768087157773,411,[Stress] GET Pets Pending,200,OK,2.Stress Test (Ramp Up) 2-12,text,true,,2691,151,17,45,https://petstore.swagger.io/v2/pet/findByStatus?status=pending,411,0,262
1768087157765,419,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-7,text,true,,443,293,15,45,https://petstore.swagger.io/v2/store/order,419,0,268
1768087157765,425,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-8,text,true,,414,135,15,45,https://petstore.swagger.io/v2/store/inventory,424,0,270
1768087157795,397,[Stress] GET Store Inventory,200,OK,2.Stress Test (Ramp Up) 2-2,text,true,,414,135,17,45,https://petstore.swagger.io/v2/store/inventory,396,0,257
1768087157853,393,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-9,text,true,,333,156,15,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,392,0,256
1768087157849,400,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-60,text,true,,413,135,13,45,https://petstore.swagger.io/v2/store/inventory,400,0,263
1768087157898,404,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-10,text,true,,443,293,15,45,https://petstore.swagger.io/v2/store/order,404,0,270
1768087157750,590,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-69,text,true,,333,156,13,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,588,0,434
1768087157863,477,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-66,text,true,,414,135,13,45,https://petstore.swagger.io/v2/store/inventory,477,0,321
1768087157858,482,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-63,text,true,,333,156,13,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,482,0,326
1768087157925,415,[Stress] GET Store Inventory,200,OK,2.Stress Test (Ramp Up) 2-11,text,true,,414,135,17,45,https://petstore.swagger.io/v2/store/inventory,415,0,265
1768087157949,396,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-11,text,true,,414,135,15,45,https://petstore.swagger.io/v2/store/inventory,396,0,258
1768087157993,390,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-61,text,true,,414,135,13,45,https://petstore.swagger.io/v2/store/inventory,390,0,257
1768087158008,408,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-2,text,true,,443,293,15,44,https://petstore.swagger.io/v2/store/order,408,0,279
1768087158008,419,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-12,text,true,,333,156,15,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,418,0,287
1768087158036,402,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-64,text,true,,333,156,13,45,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,402,0,262
